name,vendor,url,population,wikidata_item,website,pages_visited,time
Hamersen,,,441,http://www.wikidata.org/entity/Q503777,http://www.sittensen.de/,1,0.2728483406826854
Wittdün auf Amrum,,,813,http://www.wikidata.org/entity/Q28091,http://www.amt-foehr-amrum.de/gemamr.htm#Wittduen,1,0.34426448680460453
Berzhausen,,,196,http://www.wikidata.org/entity/Q562574,http://www.berzhausen.de/,1,0.2924723969772458
Leutersdorf,,,3538,http://www.wikidata.org/entity/Q502686,https://www.leutersdorf.de/,1,0.39879006892442703
Emmendorf,,,731,http://www.wikidata.org/entity/Q818914,http://www.bad-bevensen.de/,1,0.6169672766700387
Luckow,,,620,http://www.wikidata.org/entity/Q695458,http://www.eggesin.de/stettiner_haff/gemeinden/luckow-rieth.php?navid=9,1,1.0429693907499313
Urbach,,,1523,http://www.wikidata.org/entity/Q182775,http://www.urbach-ww.de,1,1.6344545288011432
Masserberg,,,2252,http://www.wikidata.org/entity/Q559759,https://masserberg.de/,1,2.6670466139912605
Oederquart,,,1047,http://www.wikidata.org/entity/Q503942,http://www.nordkehdingen.de/default.cfm?mid=33912,1,1.6180107044056058
Ransweiler,,,357,http://www.wikidata.org/entity/Q561135,https://ortsgemeinde-ransweiler.de/,1,3.791610850021243
Oßling,,,2266,http://www.wikidata.org/entity/Q93273,http://www.ossling.net/,3,3.9817811204120517
Neukirch/Lausitz,,,5004,http://www.wikidata.org/entity/Q93270,http://www.neukirch-lausitz.de,1,3.6463027140125632
Westermoor,,,395,http://www.wikidata.org/entity/Q546975,http://www.amt-breitenburg.de/westermoor.html,1,4.772398227825761
Ransbach-Baumbach,somacos,https://www.ransbach-baumbach.de/ratsinfo/,7672,http://www.wikidata.org/entity/Q552481,https://www.ransbach-baumbach.de/,2,5.032049403525889
Schömerich,,,152,http://www.wikidata.org/entity/Q656749,http://www.schoemerich.de,1,1.5293825473636389
Süderdeich,cc-egov,https://www.abw.sitzung-online.de/ri/logon.asp,474,http://www.wikidata.org/entity/Q551694,http://www.amt-buesum-wesselburen.de/index.php?menuid=44,2,7.172827761620283
Bad Bevensen,,,9190,http://www.wikidata.org/entity/Q558569,http://www.bad-bevensen.de/,2,7.0506283193826675
Bennhausen,,,165,http://www.wikidata.org/entity/Q561298,http://www.kirchheimbolanden.de/,1,6.179031833074987
Singhofen,,,1764,http://www.wikidata.org/entity/Q640414,http://www.vgnassau.info,1,7.295280888676643
Mohlsdorf-Teichwolframsdorf,,,4874,http://www.wikidata.org/entity/Q83421,http://www.mohlsdorf-teichwolframsdorf.eu,1,4.214947142638266
Dippach,,,1071,http://www.wikidata.org/entity/Q668907,http://www.vg-berka-werra.de/,3,8.19766185246408
Langeoog,,,1968,http://www.wikidata.org/entity/Q25129,https://www.langeoog.de/,2,7.033379522152245
Emmelbaum,more!rubin,https://neuerburg.more-rubin1.de/,81,http://www.wikidata.org/entity/Q563134,http://www.suedeifelinfo.de/,3,8.669847169891
Wattenbek,,,2966,http://www.wikidata.org/entity/Q557131,http://www.gemeinde-wattenbek.de,1,8.31865887902677
Schwäbisch Gmünd,somacos,http://bi.schwaebisch-gmuend.de/,59166,http://www.wikidata.org/entity/Q4037,https://www.schwaebisch-gmuend.de/,3,8.26048891339451
Dommershausen,,,1121,http://www.wikidata.org/entity/Q562469,https://www.og-dommershausen.de/,3,8.825759231112897
Kruchten,more!rubin,https://neuerburg.more-rubin1.de/,446,http://www.wikidata.org/entity/Q304856,http://www.suedeifelinfo.de,3,9.032046216540039
Loitsche-Heinrichsberg,,,995,http://www.wikidata.org/entity/Q690599,http://www.loitsche.de,1,1.5939183868467808
Seestermühe,,,885,http://www.wikidata.org/entity/Q660826,http://www.seestermuehe.de,3,8.863581022247672
Seedorf,cc-egov,https://www.trave.sitzung-online.de/bi/au010.asp?PALFDNR=6,2187,http://www.wikidata.org/entity/Q684291,http://www.gemeinde-seedorf.de,3,9.761109893210232
Stockum-Püschen,,,638,http://www.wikidata.org/entity/Q646549,http://www.stockum-pueschen.de,1,2.239154295064509
Springstille,,,0,http://www.wikidata.org/entity/Q556787,http://www.springstille.de,2,6.048106642439961
Edelsfeld,,,1497,http://www.wikidata.org/entity/Q520907,http://www.edelsfeld.de/,1,10.265595100820065
Adenstedt,,,0,http://www.wikidata.org/entity/Q356229,http://www.samtgemeinde-sibbesse.de/,2,3.0080254981294274
Osnabrück,cc-egov,http://ris.osnabrueck.de/bi/allris.net.asp,164070,http://www.wikidata.org/entity/Q2916,https://www.osnabrueck.de/,2,10.247021185234189
Wiedensahl,,,975,http://www.wikidata.org/entity/Q546339,http://www.wiedensahl.de,2,11.663998401723802
Obererbach,,,567,http://www.wikidata.org/entity/Q694158,http://www.obererbach.de,4,11.885741665028036
Rhede (Ems),,,4186,http://www.wikidata.org/entity/Q654138,https://www.rhede-ems.de/,1,1.8285796465352178
Pottiga,,,397,http://www.wikidata.org/entity/Q663791,http://www.gemeinde-pottiga.de/Seiten/gemeinde_pottiga.htm,1,2.26217451505363
Rohrbach,,,207,http://www.wikidata.org/entity/Q696398,http://gemeinde-rohrbach.de,1,4.497352324426174
Perlesreut,,,2686,http://www.wikidata.org/entity/Q503831,http://www.perlesreut.de,5,14.536307497881353
Durmersheim,,,12255,http://www.wikidata.org/entity/Q81858,http://www.durmersheim.de/,3,13.583411396481097
Obermehler,,,1430,http://www.wikidata.org/entity/Q637507,http://www.vg-schlotheim.de/,5,15.522528942674398
Nünchritz,,,5541,http://www.wikidata.org/entity/Q8756,http://www.nuenchritz.de,4,17.983344851993024
Bodenmais,,,3397,http://www.wikidata.org/entity/Q513654,http://www.bodenmais.de,3,10.415209801867604
Sonnewalde,,,3256,http://www.wikidata.org/entity/Q544969,http://www.stadt-sonnewalde.de,3,14.777333902195096
Bauler,more!rubin,https://neuerburg.more-rubin1.de/,132,http://www.wikidata.org/entity/Q567708,http://www.suedeifelinfo.de/,3,9.290318291634321
Bad Camberg,,,14217,http://www.wikidata.org/entity/Q558512,http://www.bad-camberg.de,6,18.27384977042675
Almersbach,,,422,http://www.wikidata.org/entity/Q566903,http://www.almersbach.de/,2,15.947266513481736
Aventoft,,,520,http://www.wikidata.org/entity/Q506341,https://www.aventoft.de/,1,10.973652145825326
Neustadt am Rübenberge,somacos,https://sessionnet.krz.de/neustadt/bi/infobi.asp,43931,http://www.wikidata.org/entity/Q7014,https://www.neustadt-a-rbge.de/,3,20.97369717527181
Aresing,kommuna,https://ris.komuna.net/aresing/,2341,http://www.wikidata.org/entity/Q522443,http://www.aresing.de,5,21.071587787009776
Heiligenstedtenerkamp,somacos,https://sitzungsdienst.amt-itzehoe-land.de/bi2/info.php,731,http://www.wikidata.org/entity/Q556370,http://www.amt-itzehoe-land.de/index.php?id=87,2,15.461533925496042
Kodersdorf,,,2465,http://www.wikidata.org/entity/Q506108,http://www.kodersdorf.de,4,23.600104235112667
Kreuztal,sternberg,https://sitzungsdienst.kdz-ws.net/gkz060/startseite,31017,http://www.wikidata.org/entity/Q5999,https://www.kreuztal.de/,3,15.098245834931731
Großrückerswalde,,,3437,http://www.wikidata.org/entity/Q57773,http://www.grossrueckerswalde.de,6,25.009109447710216
Rögnitz,somacos,https://sessionnet.krz.de/gadebusch/bi/info.asp,206,http://www.wikidata.org/entity/Q560744,http://www.gadebusch.de,2,25.34671378787607
Ralingen,,,2077,http://www.wikidata.org/entity/Q478527,http://www.ralingen.de,2,16.452053458429873
Salzweg,,,5018,http://www.wikidata.org/entity/Q504950,http://www.salzweg.de,7,25.856671986170113
Kaltenholzhausen,,,576,http://www.wikidata.org/entity/Q553572,http://www.kaltenholzhausen.de/,1,4.390654538758099
Forst,PortUNA.ris,https://hamm-sieg.ratsinformationsdienst.de/ratsinfo/index.php,586,http://www.wikidata.org/entity/Q648840,http://www.hamm-sieg.de,7,27.470317628234625
Benzweiler,PortUNA.ris,https://www.rheinboellen.de/ratsinfo/index.php,211,http://www.wikidata.org/entity/Q561758,http://www.benzweiler.de/,5,27.05444472003728
Niendorf a. d. St.,,,661,http://www.wikidata.org/entity/Q666399,http://www.niendorf-adst.de,2,13.968117661774158
Eschershausen,sternberg,https://eschershausen-stadtoldendorf.ratsinfomanagement.net/startseite,3474,http://www.wikidata.org/entity/Q58757,http://www.eschershausen-stadtoldendorf.de/,2,16.8927017506212
Pfronstetten,,,1446,http://www.wikidata.org/entity/Q83227,http://www.pfronstetten.de,8,27.047320125624537
Bischofswerda,sternberg,https://sdnet.bischofswerda.de/startseite,11083,http://www.wikidata.org/entity/Q81717,http://www.bischofswerda.de/,2,20.301525620743632
Gelenau/Erzgeb.,,,4181,http://www.wikidata.org/entity/Q57757,http://www.gelenau.de,8,29.037203182466328
Georgsmarienhütte,somacos,https://gmh.ris.itebo.de/bi/infobi.asp,31594,http://www.wikidata.org/entity/Q16078,https://www.georgsmarienhuette.de/,2,9.078136348165572
Badenhard,more!rubin,https://emmelshausen.more-rubin1.de/,141,http://www.wikidata.org/entity/Q563848,http://www.emmelshausen.de/,3,30.709370936267078
Birkheim,more!rubin,https://emmelshausen.more-rubin1.de/,144,http://www.wikidata.org/entity/Q561578,http://www.emmelshausen.de/,3,30.706919892691076
Sexau,,,3362,http://www.wikidata.org/entity/Q550991,http://www.sexau.de,7,30.784307456575334
Bohmstedt,,,753,http://www.wikidata.org/entity/Q573025,http://www.bohmstedt.de/,1,5.384505179710686
