name,vendor,url,population,wikidata_item,website,pages_visited,time
Leutersdorf,,,3538,http://www.wikidata.org/entity/Q502686,https://www.leutersdorf.de/,1,0.2104405891150236
Hamersen,,,441,http://www.wikidata.org/entity/Q503777,http://www.sittensen.de/,1,0.31916874647140503
Berzhausen,,,196,http://www.wikidata.org/entity/Q562574,http://www.berzhausen.de/,1,0.25004209391772747
Wattenbek,,,2966,http://www.wikidata.org/entity/Q557131,http://www.gemeinde-wattenbek.de,1,0.6736668106168509
Wittdün auf Amrum,,,813,http://www.wikidata.org/entity/Q28091,http://www.amt-foehr-amrum.de/gemamr.htm#Wittduen,1,3.066321326419711
Edelsfeld,,,1497,http://www.wikidata.org/entity/Q520907,http://www.edelsfeld.de/,1,3.3976784087717533
Urbach,,,1523,http://www.wikidata.org/entity/Q182775,http://www.urbach-ww.de,1,2.9942124895751476
Luckow,,,620,http://www.wikidata.org/entity/Q695458,http://www.eggesin.de/stettiner_haff/gemeinden/luckow-rieth.php?navid=9,1,3.578183458186686
Ransbach-Baumbach,somacos,https://www.ransbach-baumbach.de/ratsinfo/,7672,http://www.wikidata.org/entity/Q552481,https://www.ransbach-baumbach.de/,2,3.5497508961707354
Singhofen,,,1764,http://www.wikidata.org/entity/Q640414,http://www.vgnassau.info,1,4.222047307528555
Oederquart,,,1047,http://www.wikidata.org/entity/Q503942,http://www.nordkehdingen.de/default.cfm?mid=33912,1,3.650797222740948
Neukirch/Lausitz,,,5004,http://www.wikidata.org/entity/Q93270,http://www.neukirch-lausitz.de,1,5.57460963819176
Oßling,,,2266,http://www.wikidata.org/entity/Q93273,http://www.ossling.net/,3,5.61306687258184
Emmendorf,,,731,http://www.wikidata.org/entity/Q818914,http://www.bad-bevensen.de/,2,5.705341478809714
Bad Bevensen,,,9190,http://www.wikidata.org/entity/Q558569,http://www.bad-bevensen.de/,2,5.72241154499352
Masserberg,,,2252,http://www.wikidata.org/entity/Q559759,https://masserberg.de/,1,6.531323713250458
Westermoor,,,395,http://www.wikidata.org/entity/Q546975,http://www.amt-breitenburg.de/westermoor.html,1,6.335352308116853
Bennhausen,,,165,http://www.wikidata.org/entity/Q561298,http://www.kirchheimbolanden.de/,1,7.39654956292361
Süderdeich,cc-egov,https://www.abw.sitzung-online.de/ri/logon.asp,474,http://www.wikidata.org/entity/Q551694,http://www.amt-buesum-wesselburen.de/index.php?menuid=44,2,10.448807463981211
Schömerich,,,152,http://www.wikidata.org/entity/Q656749,http://www.schoemerich.de,1,4.89648752566427
Langeoog,,,1968,http://www.wikidata.org/entity/Q25129,https://www.langeoog.de/,2,7.232787284068763
Schwäbisch Gmünd,somacos,http://bi.schwaebisch-gmuend.de/,59166,http://www.wikidata.org/entity/Q4037,https://www.schwaebisch-gmuend.de/,3,10.757132962346077
Emmelbaum,more!rubin,https://neuerburg.more-rubin1.de/,81,http://www.wikidata.org/entity/Q563134,http://www.suedeifelinfo.de/,3,10.891709002666175
Mohlsdorf-Teichwolframsdorf,,,4874,http://www.wikidata.org/entity/Q83421,http://www.mohlsdorf-teichwolframsdorf.eu,1,5.331215238198638
Dippach,,,1071,http://www.wikidata.org/entity/Q668907,http://www.vg-berka-werra.de/,3,10.80106061603874
Kruchten,more!rubin,https://neuerburg.more-rubin1.de/,446,http://www.wikidata.org/entity/Q304856,http://www.suedeifelinfo.de,3,10.947623688727617
Ransweiler,,,357,http://www.wikidata.org/entity/Q561135,https://ortsgemeinde-ransweiler.de/,3,12.112178556621075
Loitsche-Heinrichsberg,,,995,http://www.wikidata.org/entity/Q690599,http://www.loitsche.de,1,2.481715257279575
Seestermühe,,,885,http://www.wikidata.org/entity/Q660826,http://www.seestermuehe.de,3,11.727073791436851
Seedorf,cc-egov,https://www.trave.sitzung-online.de/bi/au010.asp?PALFDNR=6,2187,http://www.wikidata.org/entity/Q684291,http://www.gemeinde-seedorf.de,3,12.259810961782932
Rögnitz,somacos,https://sessionnet.krz.de/gadebusch/bi/info.asp,206,http://www.wikidata.org/entity/Q560744,http://www.gadebusch.de,2,11.6880106292665
Wiedensahl,,,975,http://www.wikidata.org/entity/Q546339,http://www.wiedensahl.de,2,12.912755327299237
Dommershausen,,,1121,http://www.wikidata.org/entity/Q562469,https://www.og-dommershausen.de/,2,12.412860576063395
Stockum-Püschen,,,638,http://www.wikidata.org/entity/Q646549,http://www.stockum-pueschen.de,1,2.5359175549820065
Adenstedt,,,0,http://www.wikidata.org/entity/Q356229,http://www.samtgemeinde-sibbesse.de/,2,4.2308430802077055
Perlesreut,,,2686,http://www.wikidata.org/entity/Q503831,http://www.perlesreut.de,5,13.619285620748997
Rhede (Ems),,,4186,http://www.wikidata.org/entity/Q654138,https://www.rhede-ems.de/,1,1.7820078618824482
Pottiga,,,397,http://www.wikidata.org/entity/Q663791,http://www.gemeinde-pottiga.de/Seiten/gemeinde_pottiga.htm,1,2.1737749204039574
Rohrbach,,,207,http://www.wikidata.org/entity/Q696398,http://gemeinde-rohrbach.de,1,4.262403007596731
Neustadt am Rübenberge,somacos,https://sessionnet.krz.de/neustadt/bi/infobi.asp,43931,http://www.wikidata.org/entity/Q7014,https://www.neustadt-a-rbge.de/,3,16.638914114795625
Osnabrück,cc-egov,https://ris.osnabrueck.de/bi/allris.net.asp,164070,http://www.wikidata.org/entity/Q2916,https://www.osnabrueck.de/,2,17.711541979573667
Durmersheim,,,12255,http://www.wikidata.org/entity/Q81858,http://www.durmersheim.de/,3,15.081662307493389
Obermehler,,,1430,http://www.wikidata.org/entity/Q637507,http://www.vg-schlotheim.de/,5,19.74147096183151
Obererbach,,,567,http://www.wikidata.org/entity/Q694158,http://www.obererbach.de,4,19.84642589557916
Springstille,,,0,http://www.wikidata.org/entity/Q556787,http://www.springstille.de,2,16.05725648999214
Bauler,more!rubin,https://neuerburg.more-rubin1.de/,132,http://www.wikidata.org/entity/Q567708,http://www.suedeifelinfo.de/,3,9.303445850498974
Sonnewalde,,,3256,http://www.wikidata.org/entity/Q544969,http://www.stadt-sonnewalde.de,4,16.093566916882992
Badenhard,more!rubin,https://emmelshausen.more-rubin1.de/,141,http://www.wikidata.org/entity/Q563848,http://www.emmelshausen.de/,3,21.588830335997045
Birkheim,more!rubin,https://emmelshausen.more-rubin1.de/,144,http://www.wikidata.org/entity/Q561578,http://www.emmelshausen.de/,3,21.548771934583783
