name,vendor,url,population,wikidata_item,website,pages_visited,time
Eppertshausen,,,0,http://www.wikidata.org/entity/Q631184,https://www.eppertshausen.de/,7,23.397564958781004
Hasselbach,,,0,http://www.wikidata.org/entity/Q676906,http://www.hasselbachhunsrueck.de,1,11.030903410166502
Gröbenzell,somacos,https://session-groebenzell.de/sessionnet/ri/,17504,http://www.wikidata.org/entity/Q278609,http://www.groebenzell.de,6,29.932053938508034
Bad Bodenteich,cc-egov,https://ris-aue.itv-ue.de/bi/allris.net.asp,3770,http://www.wikidata.org/entity/Q631355,http://www.samtgemeinde-aue.de/,3,22.21317096799612
Gleina,,,0,http://www.wikidata.org/entity/Q564317,http://www.verbgem-unstruttal.de,4,31.52445747703314
Welle,,,1190,http://www.wikidata.org/entity/Q676944,http://www.welle-nordheide.de,4,19.986339580267668
Oberotterbach,,,0,http://www.wikidata.org/entity/Q631019,http://www.oberotterbach.de,3,23.895153626799583
Stadland,,,7511,http://www.wikidata.org/entity/Q677526,http://www.stadland.de,5,23.03448634594679
Leubsdorf,,,1607,http://www.wikidata.org/entity/Q678845,http://www.leubsdorf.de,6,21.59326745569706
Hamm,,,0,http://www.wikidata.org/entity/Q679389,http://www.bitburgerland.de,1,19.952693410217762
Roth,,,0,http://www.wikidata.org/entity/Q678623,http://www.stromberg.de,3,22.199925996363163
Hintersee,,,0,http://www.wikidata.org/entity/Q680338,http://www.hintersee-online.de,2,22.41282783448696
Dalberg,,,0,http://www.wikidata.org/entity/Q640216,http://www.gemeinde-dalberg.de/,9,29.584105636924505
Breit,,,0,http://www.wikidata.org/entity/Q680917,https://www.og-breit.de/,3,18.61708863079548
Winsen,,,13047,http://www.wikidata.org/entity/Q622498,http://www.winsen-aller.de,6,33.418408174067736
Obrigheim,,,2636,http://www.wikidata.org/entity/Q677324,https://www.obrigheim-pfalz.de/,2,6.2667065635323524
Oetzen,more!rubin,https://rosche.more-rubin1.de/,1158,http://www.wikidata.org/entity/Q680480,http://www.samtgemeinde-rosche.de/,3,22.969279762357473
Bergholz,,,354,http://www.wikidata.org/entity/Q676531,http://www.loecknitz-online.de/alp/gemeinden/bergholz.php,4,25.082709975540638
Gollenberg,,,0,http://www.wikidata.org/entity/Q676609,http://www.gollenberg.de,2,7.24613855406642
Schleid,,,0,http://www.wikidata.org/entity/Q677335,http://www.bitburgerland.de,1,20.587606474757195
Nister,more!rubin,https://hachenburg.more-rubin1.de/index.php,962,http://www.wikidata.org/entity/Q680833,http://www.hachenburg-vg.de,2,23.44914061203599
Lauschied,,,0,http://www.wikidata.org/entity/Q640202,http://www.lauschied.de,8,40.885155729949474
Grasberg,sternberg,https://grasberg.ratsinfomanagement.net/startseite,7747,http://www.wikidata.org/entity/Q680429,http://www.grasberg.de,3,22.72273474186659
Bell,,,1443,http://www.wikidata.org/entity/Q676696,https://bell-hunsrueck.de/,2,7.7449626214802265
Wilhelmsburg,,,0,http://www.wikidata.org/entity/Q676716,http://www.amt-ferdinandshof.de/frame/wilhelmsburg.htm,1,4.582670651376247
Wendisch Baggendorf,,,0,http://www.wikidata.org/entity/Q677125,http://www.amt-franzburg-richtenberg.de,1,4.578127279877663
Eslarn,,,2997,http://www.wikidata.org/entity/Q507911,http://www.eslarn.de/,10,41.02568605914712
Fischbach,,,0,http://www.wikidata.org/entity/Q676963,http://www.fischbach-nahe.de,1,6.550213780254126
Rumbach,,,0,http://www.wikidata.org/entity/Q678873,http://www.rumbach-pfalz.de,1,2.3909276612102985
Weiler,,,0,http://www.wikidata.org/entity/Q678762,http://weiler-eifel.de,1,1.0263624787330627
Otting,,,678,http://www.wikidata.org/entity/Q502887,http://www.gemeinde-otting.de,10,33.53200014680624
Müden (Mosel),,,0,http://www.wikidata.org/entity/Q680967,http://www.mueden-mosel.de,1,2.527995817363262
Guldental,more!rubin,https://langenlonsheim.more-rubin1.de/index.php,0,http://www.wikidata.org/entity/Q680361,http://www.guldental.de,4,29.440716806799173
Elz,,,0,http://www.wikidata.org/entity/Q631198,http://www.elz.de/,11,42.74526829645038
Friesenheim,cc-egov,https://www.landkreis-mainz-bingen.sitzung-online.de/bi/allris.net.asp,0,http://www.wikidata.org/entity/Q676753,http://www.friesenheim-rheinhessen.de,5,18.069147415459156
Winterbach,more!rubin,https://vgtw.more-rubin1.de/gremien_pers.php?submenu=3&Kuerzel=GRWallhalb&entrygremien=0&sortgremien=Bezeichnung,0,http://www.wikidata.org/entity/Q679349,http://www.wallhalben.de,2,10.46218567341566
Burgen,,,0,http://www.wikidata.org/entity/Q679415,http://www.burgen-bernkastel.de/,1,2.9539920687675476
