name,vendor,url,population,ags,wikidata_item,website,pages_visited,time
Hahnheim,,,1553,07339025,http://www.wikidata.org/entity/Q617192,http://www.hahnheim.de,5,34.73442029953003
Gräfenberg,,,4071,09474132,http://www.wikidata.org/entity/Q502597,https://www.graefenberg.de/,15,116.57725492306054
Feldberger Seenlandschaft,,,4443,13071033,http://www.wikidata.org/entity/Q20349,http://www.feldberger-seenlandschaft.de,2,20.117923956364393
Rühstädt,,,470,12070348,http://www.wikidata.org/entity/Q539850,http://www.amt-badwilsnack-weisen.de/index.php?option=com_content&task=view&id=39&Itemid=88,3,17.012354416772723
Holzkirch,,,318,08425062,http://www.wikidata.org/entity/Q163344,http://www.holzkirch.de,1,13.051325369626284
Emmelshausen,,,4871,07140036,http://www.wikidata.org/entity/Q539565,http://www.stadt-emmelshausen.de/,3,29.073375295847654
Neukloster,,,4176,13074057,http://www.wikidata.org/entity/Q540063,http://www.neukloster.de,14,99.62906068377197
Emmendorf,,,731,03360008,http://www.wikidata.org/entity/Q818914,http://www.bad-bevensen.de/,2,18.820423727855086
Röttingen,,,1733,09679182,http://www.wikidata.org/entity/Q506515,http://www.roettingen.de,19,105.24906534701586
Groß Polzin,cc-egov,https://www.sitzungsdienst-zuessow.de/ri/logonc.asp?sessionId=403634322,396,13075043,http://www.wikidata.org/entity/Q636878,http://www.amt-zuessow.de/,6,51.094318790361285
Rinzenberg,somacos,https://sessionnet.krz.de/birkenfeld/bi/info.asp,323,07134071,http://www.wikidata.org/entity/Q562613,http://www.rinzenberg.de,3,32.85608442686498
Spessart,more!rubin,https://brohltal.more-rubin1.de/,772,07131208,http://www.wikidata.org/entity/Q686740,http://www.brohltal.de,4,31.644763868302107
Pleizenhausen,,,252,07140118,http://www.wikidata.org/entity/Q646786,https://www.pleizenhausen.de/,1,5.784089911729097
Erlau,,,3200,14522120,http://www.wikidata.org/entity/Q70954,http://www.gemeinde-erlau.de/,5,32.64217019826174
Großlohra,,,917,16062009,http://www.wikidata.org/entity/Q649216,http://www.vg-hainleite.de/,2,19.54941014572978
Lünen,sternberg,https://luenen.ratsinfomanagement.net/termine,86449,05978024,http://www.wikidata.org/entity/Q3822,https://www.luenen.de,10,54.79924135655165
Ostfildern,,,39205,08116080,http://www.wikidata.org/entity/Q14916,http://www.ostfildern.de,34,256.81767842918634
Fahrdorf,PortUNA.ris,https://www.haddeby.de/ratsinfo/sitzungen/liste.php,2543,01059026,http://www.wikidata.org/entity/Q117919,https://www.fahrdorf.de/,10,59.47287788055837
