name,vendor,url,population,ags,wikidata_item,website,pages_visited,time
Schönborn,,,1551,12062453,http://www.wikidata.org/entity/Q551515,http://www.schoenborn-ee.de,1,0.9449819065630436
Nerenstetten,,,344,08425085,http://www.wikidata.org/entity/Q636036,http://www.nerenstetten.de,1,0.9466928038746119
Seeshaupt,,,3217,09190152,http://www.wikidata.org/entity/Q518061,http://www.seeshaupt.de,2,0.7360311485826969
Niederwiesa,,,4871,14522420,http://www.wikidata.org/entity/Q71021,http://www.niederwiesa.de,1,1.217386880889535
Windeby,,,1017,01058173,http://www.wikidata.org/entity/Q552810,http://www.amt-schlei-ostsee.de/windeby.html,1,1.2699174284934998
Isenburg,,,810,07138031,http://www.wikidata.org/entity/Q656336,http://www.ortsgemeinde-isenburg.de,1,0.9203775469213724
Besenthal,,,88,01053010,http://www.wikidata.org/entity/Q632477,http://www.buechen.de/index.phtml?sNavID=1781.31,1,1.4727928917855024
Schweickershausen,,,159,16069046,http://www.wikidata.org/entity/Q559830,http://www.heldburg.de/,2,1.811208076775074
Winkelsett,,,521,03458015,http://www.wikidata.org/entity/Q759199,http://www.winkelsett.de/,1,1.8027651440352201
Reichsthal,,,106,07333202,http://www.wikidata.org/entity/Q560408,http://www.reichsthal.de,1,1.0746351573616266
Wilkau-Haßlau,,,9896,14524320,http://www.wikidata.org/entity/Q20088,http://www.wilkau-hasslau.de,1,2.9245342798531055
Guthmannshausen,,,712,16068023,http://www.wikidata.org/entity/Q556434,http://www.buttstaedt.eu/vg_buttstaedt/Mitgliedsgemeinden/Guthmannshausen/,1,1.93698157556355
Etschberg,,,661,07336024,http://www.wikidata.org/entity/Q563507,http://www.etschberg.info/,2,3.1271323822438717
Zschepplin,,,2872,14730360,http://www.wikidata.org/entity/Q16072,https://www.zschepplin.org/,2,3.0964760966598988
Hundhaupten,,,318,16076033,http://www.wikidata.org/entity/Q539147,http://www.hundhaupten.de/,1,3.360976306721568
Kluse,,,1655,03454025,http://www.wikidata.org/entity/Q638102,http://www.doerpen.de/,2,4.71702728047967
Nentershausen,,,2741,06632013,http://www.wikidata.org/entity/Q625897,http://www.nentershausen.de,1,4.978701023384929
Tröndel,,,396,01057082,http://www.wikidata.org/entity/Q818700,http://www.gemeinde-troendel.de,1,4.857676448300481
Sinspelt,more!rubin,https://neuerburg.more-rubin1.de/,389,07232122,http://www.wikidata.org/entity/Q567514,http://www.suedeifelinfo.de,3,6.89951722510159
Hambach,,,461,07141052,http://www.wikidata.org/entity/Q566907,http://www.gemeinde-hambach.de,2,5.9212829526513815
Flarchheim,,,417,16064017,http://www.wikidata.org/entity/Q288161,http://www.flarchheim.de,3,7.363399250432849
Biedesheim,more!rubin,https://goellheim.gremien.info/,612,07333006,http://www.wikidata.org/entity/Q642652,http://www.vg-goellheim.de/,2,7.62413383834064
Linnich,sternberg,https://sdnetrim.kdvz-frechen.de/rim4270/termine,12484,05358036,http://www.wikidata.org/entity/Q200122,http://www.linnich.de,3,7.742346113547683
Heimbach,sternberg,https://sdnetrim.kdvz-frechen.de/rim4190/,4319,05358012,http://www.wikidata.org/entity/Q200138,http://www.heimbach-eifel.de,2,8.11870720423758
Kratzeburg,,,518,13071080,http://www.wikidata.org/entity/Q20341,http://www.kratzeburg.de,1,5.919152932241559
Borstel-Hohenraden,cc-egov,http://www.sitzungsdienst-pinnau.de/bi2/au010.asp?PALFDNR=2&SELECT=1&options=4,2487,01056009,http://www.wikidata.org/entity/Q574233,http://www.amt-pinnau.de/index.phtml?sNavID=1785.17,4,8.513245735317469
Tosterglope,,,569,03355037,http://www.wikidata.org/entity/Q632557,http://www.dahlenburg.de,1,12.282330717891455
Rohrbach,,,1778,07337068,http://www.wikidata.org/entity/Q681095,http://www.rohrbach-pfalz.de,5,12.93147556297481
Wald-Michelbach,,,10628,06431021,http://www.wikidata.org/entity/Q2541156,http://www.wald-michelbach.de,5,13.494295636191964
