name,vendor,url,version,population,ags,wikidata_item,website,pages_visited,time
Hattorf am Harz,,,,3992,03159018,http://www.wikidata.org/entity/Q633555,http://www.hattorfamharz.de,1,0.3738348730839789
Pfinztal,,,,18407,08215101,http://www.wikidata.org/entity/Q504462,http://www.pfinztal.de,1,0.3852025279775262
Fiefbergen,,,,547,01057020,http://www.wikidata.org/entity/Q556643,http://www.fiefbergen.de,1,0.4302401579916477
Obhausen,,,,2240,15088265,http://www.wikidata.org/entity/Q542937,http://www.obhausen.de,1,3.35227535571903
Rheinzabern,,,,5024,07334024,http://www.wikidata.org/entity/Q22464,http://www.rheinzabern.de,1,3.386278811376542
Borxleben,,,,276,16065008,http://www.wikidata.org/entity/Q628678,http://www.vgmzartern.de/,1,3.4096622499637306
Hoppenrade,,,,642,13072048,http://www.wikidata.org/entity/Q371657,http://www.amt-krakow-am-see.de/Hoppenrade_89.html,1,3.8074816381558776
Ulmet,,,,675,07336099,http://www.wikidata.org/entity/Q654742,http://www.ulmet.de,2,4.237794367130846
Bucha,,,,1161,16074008,http://www.wikidata.org/entity/Q631903,http://www.vg-suedliches-saaletal.de/,1,4.2711168909445405
Reinstädt,,,,482,16074076,http://www.wikidata.org/entity/Q565916,http://www.vg-suedliches-saaletal.de,1,4.271362375933677
Knopp-Labach,more!rubin,https://vgtw.more-rubin1.de/,,418,07340215,http://www.wikidata.org/entity/Q566738,http://www.wallhalben.de,2,4.482198983896524
Hübingen,more!rubin,https://montabaur.more-rubin1.de/,,535,07143036,http://www.wikidata.org/entity/Q560426,http://www.vg-montabaur.de,2,4.482234894298017
Risum-Lindholm,,,,3798,01054109,http://www.wikidata.org/entity/Q28038,http://www.risum-lindholm.de,1,1.1072985432110727
Lauchringen,,,,7724,08337065,http://www.wikidata.org/entity/Q527855,https://www.lauchringen.de/,1,4.637450966984034
Oederquart,,,,1029,03359035,http://www.wikidata.org/entity/Q503942,http://www.nordkehdingen.de/default.cfm?mid=33912,1,0.4461656678467989
Groß Wokern,somacos,https://session.amt-ms.de/sessionnet/bi/info.php,5.1.8 bi (Layout 5),1011,13072040,http://www.wikidata.org/entity/Q643643,http://www.amt-mecklenburgische-schweiz.de,2,4.709366667550057
Seth,cc-egov,https://www.itzstedt.sitzung-online.de/bi/allris.net.asp,,1982,01060076,http://www.wikidata.org/entity/Q643665,http://www.gemeinde-seth.de,2,4.840504858177155
Rieschweiler-Mühlbach,more!rubin,https://vgtw.more-rubin1.de/,,2068,07340222,http://www.wikidata.org/entity/Q22985,http://www.vgtw.de/,2,4.589590249117464
Bleckhausen,more!rubin,https://daun.more-rubin1.de/,,292,07233008,http://www.wikidata.org/entity/Q563113,http://www.vgv-daun.de/,3,4.999157359823585
Hedeper,,,,496,03158017,http://www.wikidata.org/entity/Q672767,http://www.hedeper.de,1,0.31792597426101565
Holzheim,,,,878,07141061,http://www.wikidata.org/entity/Q658442,http://www.holzheim.net/,3,5.027133810799569
Unterschönau,,,,485,16066077,http://www.wikidata.org/entity/Q556498,http://www.viernau.de/,1,0.8377463929355145
Brensbach,,,,5028,06437003,http://www.wikidata.org/entity/Q640603,http://www.brensbach.de/,3,5.110606582835317
Stadtallendorf,somacos,https://sessionnet.stadtallendorf.de/bi/info.php,5.1.3 KP4 bi (Layout 5),21456,06534018,http://www.wikidata.org/entity/Q573514,http://www.stadtallendorf.de,2,5.199537806678563
Gleiszellen-Gleishorbach,,,,814,07337029,http://www.wikidata.org/entity/Q676491,http://www.gleiszellen-gleishorbach.de,3,5.238536924123764
Meeder,somacos,https://ratsinfo.gemeinde-meeder.de/ylogon.php?smcpn=info&smclom=1,5.1.7 ri (Layout 5),3682,09473144,http://www.wikidata.org/entity/Q572682,http://www.gemeinde-meeder.de,4,5.271523009985685
Pronstorf,cc-egov,https://www.trave.sitzung-online.de/bi/au010.asp?PALFDNR=23,,1628,01060067,http://www.wikidata.org/entity/Q543991,http://www.pronstorf.de,3,5.301175486296415
Konnersreuth,,,,1755,09377131,http://www.wikidata.org/entity/Q547531,http://www.konnersreuth.de,3,0.8304393272846937
Donnersdorf,,,,1945,09678124,http://www.wikidata.org/entity/Q558807,http://www.donnersdorf.de,4,4.947326583787799
Paunzhausen,,,,1497,09178150,http://www.wikidata.org/entity/Q506003,http://www.paunzhausen.de,5,5.534464827273041
Rayerschied,,,,97,07140121,http://www.wikidata.org/entity/Q555260,http://www.rayerschied.de,1,0.475381423253566
Gerolstein,somacos,https://session.gerolstein.de/bi/info.asp,5.1.5 bi (Layout 5),7676,07233026,http://www.wikidata.org/entity/Q389985,http://www.gerolstein.de,5,5.542199015151709
Fischerbach,,,,1781,08317029,http://www.wikidata.org/entity/Q248127,https://www.fischerbach.de/,4,5.542055197991431
Heeßen,,,,1420,03257012,http://www.wikidata.org/entity/Q670395,https://www.heessen-schaumburg.info/,3,1.6478192857466638
Ranschbach,,,,636,07337065,http://www.wikidata.org/entity/Q567290,http://www.ranschbach.de,1,0.9407110721804202
