name,vendor,url,population,ags,wikidata_item,website,pages_visited,time
Isenburg,,,810,07138031,http://www.wikidata.org/entity/Q656336,http://www.ortsgemeinde-isenburg.de,1,0.5086608398705721
Niederwiesa,,,4871,14522420,http://www.wikidata.org/entity/Q71021,http://www.niederwiesa.de,1,0.6435864437371492
Schönborn,,,1551,12062453,http://www.wikidata.org/entity/Q551515,http://www.schoenborn-ee.de,1,0.5175033453851938
Winkelsett,,,521,03458015,http://www.wikidata.org/entity/Q759199,http://www.winkelsett.de/,1,0.4937720838934183
Seeshaupt,,,3217,09190152,http://www.wikidata.org/entity/Q518061,http://www.seeshaupt.de,2,0.812240170314908
Windeby,,,1017,01058173,http://www.wikidata.org/entity/Q552810,http://www.amt-schlei-ostsee.de/windeby.html,1,1.2914077769964933
Nerenstetten,,,344,08425085,http://www.wikidata.org/entity/Q636036,http://www.nerenstetten.de,1,1.4425292015075684
Besenthal,,,88,01053010,http://www.wikidata.org/entity/Q632477,http://www.buechen.de/index.phtml?sNavID=1781.31,1,1.9557110518217087
Nentershausen,,,2741,06632013,http://www.wikidata.org/entity/Q625897,http://www.nentershausen.de,1,3.0200320705771446
Wilkau-Haßlau,,,9896,14524320,http://www.wikidata.org/entity/Q20088,http://www.wilkau-hasslau.de,1,3.1734776124358177
Schweickershausen,,,159,16069046,http://www.wikidata.org/entity/Q559830,http://www.heldburg.de/,2,3.4578125905245543
Reichsthal,,,106,07333202,http://www.wikidata.org/entity/Q560408,http://www.reichsthal.de,1,2.8037813752889633
Guthmannshausen,,,712,16068023,http://www.wikidata.org/entity/Q556434,http://www.buttstaedt.eu/vg_buttstaedt/Mitgliedsgemeinden/Guthmannshausen/,1,3.301693920046091
Hundhaupten,,,318,16076033,http://www.wikidata.org/entity/Q539147,http://www.hundhaupten.de/,1,3.591918984428048
Wrist,,,2396,01061116,http://www.wikidata.org/entity/Q674840,http://www.wrist.de,1,4.502742193639278
Zschepplin,,,2872,14730360,http://www.wikidata.org/entity/Q16072,https://www.zschepplin.org/,2,4.0668967086821795
Kluse,,,1655,03454025,http://www.wikidata.org/entity/Q638102,http://www.doerpen.de/,2,4.007548909634352
Sönnebüll,,,291,01054121,http://www.wikidata.org/entity/Q523836,https://www.soennebuell.de/,1,4.465415531769395
Biedesheim,more!rubin,https://goellheim.gremien.info/,612,07333006,http://www.wikidata.org/entity/Q642652,http://www.vg-goellheim.de/,2,5.658017294481397
Tröndel,,,396,01057082,http://www.wikidata.org/entity/Q818700,http://www.gemeinde-troendel.de,1,6.176122015342116
Flarchheim,,,417,16064017,http://www.wikidata.org/entity/Q288161,http://www.flarchheim.de,3,6.51428247243166
Borstel-Hohenraden,cc-egov,http://www.sitzungsdienst-pinnau.de/bi2/au010.asp?PALFDNR=2&SELECT=1&options=4,2487,01056009,http://www.wikidata.org/entity/Q574233,http://www.amt-pinnau.de/index.phtml?sNavID=1785.17,4,6.853597104549408
Heimbach,sternberg,https://sdnetrim.kdvz-frechen.de/rim4190/,4319,05358012,http://www.wikidata.org/entity/Q200138,http://www.heimbach-eifel.de,2,7.108870457857847
Marienrachdorf,more!rubin,https://selters-ww.more-rubin1.de/,996,07143044,http://www.wikidata.org/entity/Q564480,http://www.selters-ww.de,3,7.105791285634041
Hambach,,,461,07141052,http://www.wikidata.org/entity/Q566907,http://www.gemeinde-hambach.de,2,5.247831147164106
Linnich,sternberg,https://sdnetrim.kdvz-frechen.de/rim4270/termine,12484,05358036,http://www.wikidata.org/entity/Q200122,http://www.linnich.de,3,7.759472908452153
Kratzeburg,,,518,13071080,http://www.wikidata.org/entity/Q20341,http://www.kratzeburg.de,1,3.5790810100734234
Sinspelt,more!rubin,https://neuerburg.more-rubin1.de/,389,07232122,http://www.wikidata.org/entity/Q567514,http://www.suedeifelinfo.de,3,7.405151044949889
Tosterglope,,,569,03355037,http://www.wikidata.org/entity/Q632557,http://www.dahlenburg.de,1,9.338641235604882
