name,vendor,url,population,wikidata_item,website,pages_visited,time
Falkenhain,,,0,http://www.wikidata.org/entity/Q631101,http://www.gemeinde-falkenhain.de/,1,0.20319978892803192
Ebstorf,,,5342,http://www.wikidata.org/entity/Q659643,http://www.ebstorf.de,1,0.2516953647136688
Glandorf,,,6645,http://www.wikidata.org/entity/Q630918,https://www.glandorf.de/,1,0.342317920178175
Cammin,,,0,http://www.wikidata.org/entity/Q31928092,http://www.gemeinde-cammin.de/,1,0.3895474337041378
Großbockedra,,,0,http://www.wikidata.org/entity/Q631506,http://www.huegelland-taeler.de,1,1.5921377427875996
Glasehausen,,,0,http://www.wikidata.org/entity/Q631454,http://www.vg-leinetal.de/html/mitgliedsgemeinden/index_gemeinden.htm,1,1.413733746856451
Köthel,,,314,http://www.wikidata.org/entity/Q638170,http://www.koethel.de/index.php?option=com_content&task=section&id=1,2,2.973436828702688
Papendorf,,,0,http://www.wikidata.org/entity/Q659551,http://www.amt-warnow-west.de/aww/?page_id=488,1,2.87649954482913
Schweringen,provox,http://212.227.138.213/ratsinfo/hoya,794,http://www.wikidata.org/entity/Q505625,http://www.hoya-weser.de/index.php?id=378,2,2.9841525927186012
Dexheim,,,0,http://www.wikidata.org/entity/Q630928,http://www.dexheim.de/,2,2.906951282173395
Veilsdorf,,,0,http://www.wikidata.org/entity/Q631479,http://www.veilsdorf.de,1,3.5932942405343056
Groß Plasten,,,0,http://www.wikidata.org/entity/Q20196,http://www.amt-seenlandschaft-waren.de/index1.html,1,3.5494251772761345
Wendelsheim,more!rubin,https://woellstein.more-rubin1.de/,0,http://www.wikidata.org/entity/Q555562,http://www.woellstein.de,2,3.8471939526498318
Grammentin,,,0,http://www.wikidata.org/entity/Q50970,http://www.stavenhagen.de/,1,3.7871673814952374
Winningen,,,0,http://www.wikidata.org/entity/Q822358,http://www.winningen.de,3,4.469943292438984
Sommerau,,,0,http://www.wikidata.org/entity/Q631137,http://ruwer.de/,2,4.65977293998003
Kreuzebra,,,0,http://www.wikidata.org/entity/Q631284,http://www.dingelstaedt-eichsfeld.de/gemeinden/kreuzebra/index.html,3,4.972968649119139
Leitzweiler,,,0,http://www.wikidata.org/entity/Q630938,http://www.leitzweiler.de,2,4.836379215121269
Gerterode,,,0,http://www.wikidata.org/entity/Q631465,http://www.gerterode.de,2,5.070683058351278
Boltenhagen,,,0,http://www.wikidata.org/entity/Q631074,https://www.boltenhagen.de/,3,5.670961651951075
Ortenberg,,,8885,http://www.wikidata.org/entity/Q622509,https://www.ortenberg.net/,1,1.9571354612708092
Rieps,cc-egov,http://www.sitzungsdienst-rehna.de/bi/allris.net.asp,0,http://www.wikidata.org/entity/Q631126,http://www.rehna.de/,2,6.373508386313915
Roßlau,,,0,http://www.wikidata.org/entity/Q822148,http://www.rosslau.de/,2,6.272250767797232
Miehlen,,,0,http://www.wikidata.org/entity/Q631119,http://www.miehlen.de,1,1.9601823538541794
Bann,,,2166,http://www.wikidata.org/entity/Q631166,http://www.vglandstuhl.de/,4,6.899108860641718
Brünn/Thür.,,,0,http://www.wikidata.org/entity/Q631272,http://www.gemeinde-bruenn.de/,1,1.6247738301753998
Klein-Winternheim,,,0,http://www.wikidata.org/entity/Q630978,http://www.klein-winternheim.de,3,7.694096367806196
