name,vendor,url,population,ags,wikidata_item,website,pages_visited,time
Schönborn,,,1551,12062453,http://www.wikidata.org/entity/Q551515,http://www.schoenborn-ee.de,1,0.7819594088941813
Winkelsett,,,521,03458015,http://www.wikidata.org/entity/Q759199,http://www.winkelsett.de/,1,1.074329748749733
Isenburg,,,810,07138031,http://www.wikidata.org/entity/Q656336,http://www.ortsgemeinde-isenburg.de,1,1.0282046794891357
Seeshaupt,,,3217,09190152,http://www.wikidata.org/entity/Q518061,http://www.seeshaupt.de,2,1.188442688435316
Niederwiesa,,,4871,14522420,http://www.wikidata.org/entity/Q71021,http://www.niederwiesa.de,1,1.8540092278271914
Windeby,,,1017,01058173,http://www.wikidata.org/entity/Q552810,http://www.amt-schlei-ostsee.de/windeby.html,1,1.8283078912645578
Nerenstetten,,,344,08425085,http://www.wikidata.org/entity/Q636036,http://www.nerenstetten.de,1,1.9374329186975956
Besenthal,,,88,01053010,http://www.wikidata.org/entity/Q632477,http://www.buechen.de/index.phtml?sNavID=1781.31,1,2.181207526475191
Schweickershausen,,,159,16069046,http://www.wikidata.org/entity/Q559830,http://www.heldburg.de/,2,3.437080243602395
Guthmannshausen,,,712,16068023,http://www.wikidata.org/entity/Q556434,http://www.buttstaedt.eu/vg_buttstaedt/Mitgliedsgemeinden/Guthmannshausen/,1,2.6658830232918262
Etschberg,,,661,07336024,http://www.wikidata.org/entity/Q563507,http://www.etschberg.info/,2,3.5613515749573708
Offenheim,more!rubin,https://alzey-land.more-rubin1.de/,667,07331053,http://www.wikidata.org/entity/Q652246,http://www.offenheim.de,2,4.159134490415454
Reichsthal,,,106,07333202,http://www.wikidata.org/entity/Q560408,http://www.reichsthal.de,1,2.15650131739676
Hundhaupten,,,318,16076033,http://www.wikidata.org/entity/Q539147,http://www.hundhaupten.de/,1,4.187561247497797
Zschepplin,,,2872,14730360,http://www.wikidata.org/entity/Q16072,https://www.zschepplin.org/,2,4.692276215180755
Biedesheim,more!rubin,https://goellheim.gremien.info/,612,07333006,http://www.wikidata.org/entity/Q642652,http://www.vg-goellheim.de/,2,5.084229441359639
Flarchheim,,,417,16064017,http://www.wikidata.org/entity/Q288161,http://www.flarchheim.de,3,6.653460705652833
Kluse,,,1655,03454025,http://www.wikidata.org/entity/Q638102,http://www.doerpen.de/,2,6.7764022294431925
Heimbach,sternberg,https://sdnetrim.kdvz-frechen.de/rim4190/,4319,05358012,http://www.wikidata.org/entity/Q200138,http://www.heimbach-eifel.de,2,7.120297186076641
Sinspelt,more!rubin,https://neuerburg.more-rubin1.de/,389,07232122,http://www.wikidata.org/entity/Q567514,http://www.suedeifelinfo.de,3,7.50247841887176
Tröndel,,,396,01057082,http://www.wikidata.org/entity/Q818700,http://www.gemeinde-troendel.de,1,5.574636243283749
Linnich,sternberg,https://sdnetrim.kdvz-frechen.de/rim4270/termine,12484,05358036,http://www.wikidata.org/entity/Q200122,http://www.linnich.de,3,8.300988068804145
Kratzeburg,,,518,13071080,http://www.wikidata.org/entity/Q20341,http://www.kratzeburg.de,1,4.109301475808024
Hambach,,,461,07141052,http://www.wikidata.org/entity/Q566907,http://www.gemeinde-hambach.de,2,5.834688102826476
Nentershausen,,,2741,06632013,http://www.wikidata.org/entity/Q625897,http://www.nentershausen.de,2,9.33569497987628
Bongard,,,248,07233206,http://www.wikidata.org/entity/Q563833,http://www.vgv-kelberg.de/,1,3.3076694812625647
Tosterglope,,,569,03355037,http://www.wikidata.org/entity/Q632557,http://www.dahlenburg.de,1,9.819530110806227
Borstel-Hohenraden,cc-egov,http://www.sitzungsdienst-pinnau.de/bi2/au010.asp?PALFDNR=2&SELECT=1&options=4,2487,01056009,http://www.wikidata.org/entity/Q574233,http://www.amt-pinnau.de/index.phtml?sNavID=1785.17,4,10.74234558828175
Rohrbach,,,1778,07337068,http://www.wikidata.org/entity/Q681095,http://www.rohrbach-pfalz.de,5,11.87032412737608
Wald-Michelbach,,,10628,06431021,http://www.wikidata.org/entity/Q2541156,http://www.wald-michelbach.de,5,14.3391332346946
Wahns,,,407,16066083,http://www.wikidata.org/entity/Q836727,http://www.vg-wasungen.de/index.php?option=com_content&view=article&id=61&Itemid=72,4,14.83396614342928
Kogel,,,687,13076073,http://www.wikidata.org/entity/Q674409,http://www.zarrentin.de,4,16.234143989160657
Marienrachdorf,more!rubin,https://selters-ww.more-rubin1.de/,996,07143044,http://www.wikidata.org/entity/Q564480,http://www.selters-ww.de,3,16.57450275309384
Everswinkel,,,9691,05570024,http://www.wikidata.org/entity/Q2809,https://www.everswinkel.de/,2,7.0542886182665825
Schafstedt,,,1254,01051099,http://www.wikidata.org/entity/Q552536,http://www.schafstedt.de,1,7.07636197283864
Kamenz,,,16824,14625250,http://www.wikidata.org/entity/Q81722,http://www.kamenz.de,4,18.357952427119017
Eyendorf,,,1257,03353010,http://www.wikidata.org/entity/Q633165,http://www.eyendorf.de/,1,3.8806383460760117
Langweid am Lech,,,8049,09772171,http://www.wikidata.org/entity/Q544732,https://www.langweid.de/,2,8.064673030748963
Heldburg,,,0,16069063,http://www.wikidata.org/entity/Q1601702,https://stadt-heldburg.de/,3,11.26834187284112
Gettorf,,,7457,01058058,http://www.wikidata.org/entity/Q630251,http://www.gettorf.de,6,21.75782687216997
Odisheim,,,488,03352043,http://www.wikidata.org/entity/Q505545,http://www.sietland.de,1,0.6916791163384914
Hallstadt,,,8497,09471140,http://www.wikidata.org/entity/Q302632,http://www.hallstadt.de,7,22.568292144685984
Egmating,,,2314,09175116,http://www.wikidata.org/entity/Q512144,http://www.egmating.de,2,7.97518071718514
Niederwerth,,,1324,07137218,http://www.wikidata.org/entity/Q652134,http://www.niederwerth.de,2,7.134603716433048
Pähl,,,2486,09190138,http://www.wikidata.org/entity/Q529409,http://www.gemeinde-paehl.de,7,23.79238437488675
Welling,,,925,07137112,http://www.wikidata.org/entity/Q648762,http://www.gemeinde-welling.de,3,19.479821095243096
Laer,sternberg,https://laer.ratsinfomanagement.net/startseite,6768,05566036,http://www.wikidata.org/entity/Q181910,http://www.laer.de,3,24.319171803072095
Sönnebüll,somacos,https://sessionnet.krz.de/amnf/bi/infobi.asp,291,01054121,http://www.wikidata.org/entity/Q523836,https://www.soennebuell.de/,4,24.7768736705184
Altenkirchen (Pfalz),,,1315,07336004,http://www.wikidata.org/entity/Q437330,http://www.altenkirchen-pfalz.de/,4,18.634410601109266
Hauneck,,,3222,06632007,http://www.wikidata.org/entity/Q622202,http://www.hauneck.de,3,15.41009509190917
Mülheim-Kärlich,somacos,https://sessionnet.krz.de/verbandsgemeindeweissenthurm/bi/info.asp,11164,07137216,http://www.wikidata.org/entity/Q558577,http://www.muelheim-kaerlich.de,2,21.57183043472469
Mähring,,,2080,09377139,http://www.wikidata.org/entity/Q566632,http://www.maehring.de,5,24.053815260529518
Melsbach,,,1994,07138043,http://www.wikidata.org/entity/Q531792,http://www.gemeinde-melsbach.de,1,4.165864871814847
